         93881 function calls (93668 primitive calls) in 3.223 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1136    2.810    0.002    2.810    0.002 {method 'control' of 'select.kqueue' objects}
       86    0.062    0.001    0.062    0.001 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      722    0.031    0.000    0.031    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      710    0.027    0.000    0.027    0.000 {method 'recv_into' of '_socket.socket' objects}
     1798    0.022    0.000    0.022    0.000 {method 'read' of '_ssl._SSLSocket' objects}
     1018    0.019    0.000    3.221    0.003 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/base_events.py:1845(_run_once)
       30    0.018    0.001    0.018    0.001 {method 'findall' of 're.Pattern' objects}
     1018    0.012    0.000    2.825    0.003 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/selectors.py:558(select)
      265    0.012    0.000    0.061    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_proto.py:239(data_received)
       47    0.009    0.000    0.009    0.000 {method 'decode' of 'bytes' objects}
      138    0.007    0.000    0.007    0.000 {method 'send' of '_socket.socket' objects}
      710    0.006    0.000    0.201    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/selector_events.py:954(_read_ready__get_buffer)
     1516    0.006    0.000    0.362    0.000 {method 'run' of '_contextvars.Context' objects}
      704    0.005    0.000    0.166    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:432(buffer_updated)
      539    0.005    0.000    0.092    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:771(_do_read__copied)
      717    0.004    0.000    0.107    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:720(_do_read)
     1018    0.004    0.000    0.006    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/selector_events.py:733(_process_events)
      704    0.004    0.000    0.004    0.000 {method 'write' of '_ssl.MemoryBIO' objects}
       32    0.004    0.000    0.004    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
      277    0.004    0.000    0.004    0.000 {method 'join' of 'bytes' objects}
